656,"38.58333333,-119.83",2005-08-09,26.7,8.9,17.9,26.7,8.3,17.9,6.7,52.57,0,,0,,,,,16.6,177.8,1018.9,6.3,16,,,0,
1108,"39.51055556,-111.83666667",2005-06-30,28.1,9.6,19.7,26.9,9.6,19.5,7.9,50.3,0,,0,,,,,14.8,215.6,1014.7,3.4,18.2,,,0,
3834,"34.91333333,-93.91416667",2005-08-31,34.8,17.8,26.1,34.2,17.8,26.1,16.1,58.91,0,,0,,,,,10,86.9,1010.8,11.9,15.3,,,0,
5104,"33.19972222,-108.10722222",2005-07-17,37.5,21.2,28.5,35.1,21.2,27.8,10.1,33.95,8.34,,12.5,,,,55.4,29.2,267.5,1007.4,6.9,15.7,,,0,
8079,"33.33027778,-111.04166667",2006-04-19,29.6,8.1,20.3,27.9,8.1,19.9,-4.3,20.67,0,,0,,,,,18.8,,,0,28.3,,,0,
14188,"47.08111111,-121.28555556",2006-07-05,32.9,11,15.6,32.5,11,15.6,10.9,76.01,0.62,,16.67,,,,,31.3,,1015.3,17.9,6.7,,,0,
16086,"40.8675,-123.085",2006-06-28,29.7,22.4,26,28.5,22.4,25.8,12.2,44.26,0,,0,,,,,18.4,,1012.6,1.8,16,,,0,
18403,"37.27666667,-84.28277778",2007-04-21,24,4.9,15.4,24,4.9,15.4,4.2,53.54,0,,0,,,,,9.9,,1022.7,0,15.3,,,0,
20438,"48.22277778,-115.96305556",2007-07-25,30.1,11.1,20.6,28.3,11.1,20.3,4.8,37.78,0,,0,,,,,9.4,,,0,16,,,0,
21192,"39.18361111,-122.70444444",2007-07-28,33.6,14.1,22.7,31.6,14.1,22.2,9.9,50.09,0,,0,,,,,20.5,,1011.8,5.6,14.7,,,0,
24894,"31.02555556,-86.69055556",2007-04-12,25.9,9.2,18.6,25.9,9.2,18.6,6.2,53,0,,0,,,,,20.5,,1014.5,9.6,13.3,,,0,
24901,"35.69583333,-93.16666667",2007-03-23,23.3,17,19.9,23.3,17,19.9,12.6,63.25,0.16,,4.17,,,,,19.8,,1019,34.4,15.2,,,0,
29113,"45.37527778,-111.1725",2008-07-18,30.1,10.1,17.9,28.5,10.1,17.8,9.4,61.42,3.1,,12.5,,,,48.2,25.9,177.4,1012.1,21.9,15.9,,,0,
30156,"39.44416667,-82.28666667",2008-03-25,11.2,-4.4,3.9,11.2,-6.7,2.3,-4.9,56.78,0,,0,,,,57.2,32.4,187,1021.7,33.2,15.3,,,0,
38593,"38.46666667,-109.02527778",2009-07-26,29.2,20.3,24.7,28.1,20.3,24.5,11.7,45.39,0,,0,,,,,25.9,141.3,1013.6,21.4,15.9,,,0,
41407,"34.52138889,-118.09638889",2009-11-16,18.2,-1.6,7.3,18.2,-3.5,6.8,-16.5,18.92,0,,0,,,,,15.3,202.5,1024.8,0,15.9,,,0,
42750,"48.83666667,-115.07666667",1992-06-28,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
42803,"48.34666667,-115.58166667",1992-06-11,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
42842,"48.12833333,-115.27166667",1992-08-17,34.7,11.2,23.6,32.6,11.2,22.8,8.3,44.16,8.18,,4.17,,,,,29.5,124.2,1016.2,58.2,45.4,,,0,
44368,"34.88333333,-111.65",1992-08-17,33.4,12.4,20.6,31.9,12.4,20.5,12.3,62.95,1.15,,8.33,,,,,14.8,222.5,1015.4,43.9,42.5,,,0,
47564,"40.31,-121.545",1992-08-09,37.2,18.6,28.1,35.2,18.6,27.2,11.3,41,0,,0,,,,,14.2,239.2,1014.6,0,80.1,,,0,
48724,"40.20833333,-122.885",1992-06-24,33.1,21.2,26.2,32,21.2,26,16.2,58.41,1.67,,4.17,,,,,16.8,157.5,1008.6,75.6,51.9,,,0,
49574,"39.06166667,-120.16166667",1992-07-10,24.9,11.2,19,24.9,11.2,19,8.8,52.18,0,,0,,,,,19.7,173.6,1012.1,33.4,49,,,0,
49773,"43.75638889,-121.43861111",1992-07-18,32.9,17.9,24.9,30.9,17.9,24.3,8.9,38.89,0,,0,,,,,27.7,251.9,1015.2,8.8,18.4,,,0,
51046,"45.815,-117.965",1992-09-30,29.5,9,18.4,27.9,8.3,18.1,4.9,45.38,0,,0,,,,,18.5,157.9,1011.8,22.9,24.8,,,0,
51049,"43.60166667,-122.73166667",1992-08-12,33.6,19.3,26.2,33.4,19.3,26.1,14,48.82,0,,0,,,,,18.7,157.5,1011.2,66.6,32.7,,,0,
55746,"35.88333333,-106.35",1993-07-23,29.4,15.1,24,27.6,15.1,23.5,-1.3,20.55,22,,11.76,,,,,23.9,234.3,,5.6,62.1,,,0,
59015,"30.96,-89.37",1993-03-31,27.6,15.7,22.4,26.8,15.7,22.3,12.9,60.33,6,,8.33,,,,,21.6,249.8,1004.9,22.7,14,,,0,
61974,"46.85166667,-115.39666667",1994-09-03,13.4,7.7,11.2,13.4,7.7,11.2,9.3,88.25,15,,28.57,,,,,10.8,205,1012.7,91.4,10.9,,,0,
63529,"45.47833333,-115.46666667",1994-06-22,33.4,12.7,20.5,33,12.7,20.5,13.5,66.76,0,,0,,,,,10.8,123.3,1013.5,6.3,64,,,0,
64640,"33.68,-109.36833333",1994-07-28,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
66947,"36.48333333,-106.8",1994-08-14,18.9,14.4,16.1,18.9,14.4,16.1,13.1,82.99,13,,33.33,,,,,27.7,163.3,,96.7,33,,,0,
69388,"33.35833333,-116.85666667",1994-08-13,37.4,22.3,29.7,38.7,22.3,30.3,17.2,49.35,0,,0,,,,,20.3,210.4,1012.1,46.2,22.1,,,0,
69477,"38.83333333,-120.55",1994-09-14,22.1,7.4,15.9,22.1,6.8,15.8,4.3,47.87,1.92,,4.17,,,,,13.2,148.9,1017.9,1.1,30.7,,,0,
70862,"40.76333333,-122.12666667",1994-09-24,32,15.6,23.3,30.3,15.6,22.8,10.1,46.5,20,,4.17,,,,,16.2,222.3,1012.9,56.4,42.1,,,0,
71742,"44.60833333,-118.37166667",1994-07-24,34.4,13.9,23.6,32.6,13.9,23.3,12.8,56.14,16.3,,8.33,,,,,18.4,184.2,1014.4,61.3,58,,,0,
78189,"34.535,-112.565",1995-10-21,25.1,7.9,16.9,25.1,7.4,16.9,-3.1,27.05,0,,0,,,,,40.7,204.7,1013.7,8.8,65.7,,,0,
78317,"35.96333333,-106.645",1995-06-29,22.7,11.7,16.9,22.7,11.7,17,6,49.46,0,,0,,,,,34.9,173.8,,75.6,52.3,,,0,
79769,"36.27,-115.53833333",1995-07-10,36.3,26.9,32.1,34.3,26.4,30.4,7.9,22.53,0,,0,,,,,29.5,191.3,1009.7,56.1,57.4,,,0,
79925,"34.215,-118.14166667",1995-09-20,29.9,17.1,21.8,29.3,17.1,21.8,14.1,64.36,0,,0,,,,,21.1,168.5,1014.2,24.5,14.1,,,0,
80811,"34.25833333,-116.84833333",1995-10-17,30.7,12.7,21,29.1,12.7,20.6,7.1,44.63,0,,0,,,,,14.1,232,1012.1,5.6,17.6,,,0,
80954,"36.70833333,-118.85833333",1995-08-20,36.2,20.3,28.3,34.8,20.3,27.8,14,45.73,0,,0,,,,,18.7,238.2,1009.7,29.4,20.7,,,0,
81474,"43.91583333,-121.44222222",1995-10-23,15.1,-1.1,7.7,15.1,-3.1,6.8,-7.7,35.76,0,,0,,,,,14.8,155,,49.6,16,,,0,
82335,"47.85333333,-121.045",1995-09-21,14.4,6.2,10.7,14.4,2.3,9.6,-3.9,36.06,0,,0,,,,,22,84.6,1025.7,0,15.2,,,0,
82821,"37.05166667,-83.47",1995-03-16,24.7,7.3,17.1,24.7,6.8,17.1,2.5,40.32,0,,0,,,,,14.8,244.5,1018.1,12.2,29.3,,,0,
83764,"33.03666667,-79.60333333",1995-02-05,9,-0.1,4.3,5.5,-4.6,0.3,-6.5,46.28,0,,0,,,,,29.2,278.5,1012.4,25.1,11.6,,,0,
94088,"39.99666667,-120.18666667",1996-08-13,31.7,13.9,20.7,30.2,13.9,20.5,12.6,63.56,4,,8.33,,,,,37.1,167.1,1019.5,17.2,17.9,,,0,
94599,"31.24027778,-94.105",1996-03-13,26.2,10.1,17.4,26.2,10.1,17.5,12.1,73.68,0,,0,,,,,27.7,167,1015.7,20.4,18,,,0,
96996,"34.77333333,-111.525",1997-03-24,16,-1.2,7.3,16,-3,5.9,-7.9,37.06,0,,0,,,,,29.9,226,1011.8,12,16.6,,,0,
99086,"34.40166667,-111.17833333",1997-08-12,32.1,21.1,27.3,30.4,21.1,26.7,12.7,42.47,0,,0,,,,,18.4,255,,66,43.2,,,0,
99824,"38.38666667,-109.005",1997-08-30,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
100010,"40.73722222,-121.45388889",1997-04-06,17.9,1.2,10.2,17.9,0.1,10.2,0.7,56.44,0,,0,,,,,20.5,191.8,1017.3,34.3,16,,,0,
103299,"28.99166667,-81.78166667",1997-11-09,18.9,8.1,13,18.9,6.3,12.7,7.7,71.62,0,,0,,,,,17.8,302.2,1013.1,4.5,15.7,,,0,
103377,"37.33944444,-107.97638889",1997-07-15,33.3,9.6,22.5,30.9,8.7,21.6,2,30.54,0,,0,,,,,18.2,159.6,1017.1,4,20.1,,,0,
104707,"35.04166667,-111.74833333",1998-07-03,29,5.7,18.7,27.5,5.7,18.4,3.6,39.85,0,,0,,,,,29.5,199.1,1012.9,1.2,16.9,,,0,
105645,"36.96666667,-92.07",1998-04-12,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
107368,"45.56666667,-115.48666667",1998-09-07,20.1,20.1,20.1,20.1,20.1,20.1,12.1,60.01,0,,0,,,,,5.4,170,1011.8,30,24,,,0,
109185,"44.61222222,-121.47361111",1998-07-28,16.1,13.1,14.4,16.1,13.1,14.4,9.1,70.58,0,,0,,,,,7.6,160,,0,16,,,0,
111312,"48.095,-91.08333333",1998-07-17,19.1,7.1,11.6,19.1,7.1,11.5,7.1,77.31,0,,0,,,,,5.4,315,,0,16,,,0,
113511,"34.36694444,-111.10083333",1999-05-15,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
113512,"34.30138889,-111.00166667",1999-05-15,0,0,,0,0,,,,,,0,,,,,,,,,,,,,
